age,male,female
NULL,414,6
13,9,13
14,0,145
15,46,0
16,1864,700
17,4468,2413
18,9227,2531
19,17687,7307
20,31303,10832
21,43813,13114
22,74757,29308
23,154884,73583
24,231010,111092
25,293071,134267
26,336049,144290
27,363982,147903
28,372903,147807
29,352043,138879
30,348029,123953
31,331739,112951
32,299238,103664
33,277403,92271
34,260220,77895
35,233921,67574
36,204904,51439
37,180098,45965
38,154890,43385
39,141487,37992
40,139257,33997
41,134405,26945
42,127179,23741
43,115472,24292
44,112089,26639
45,107011,24034
46,102860,21381
47,100953,24222
48,91475,24170
49,87932,26967
50,86517,23186
51,86053,23150
52,78555,23969
53,84244,23613
54,81670,19906
55,68814,18930
56,62655,17999
57,56634,16890
58,46108,16977
59,46787,14421
60,42082,12488
61,37513,9772
62,33153,7406
63,27519,5676
64,22959,4496
65,19800,4444
66,13767,3161
67,10702,1929
68,7778,1706
69,5486,1037
70,5619,612
71,5139,231
72,2880,344
73,1582,288
74,1442,14
75,1438,60
76,1263,63
77,701,139
78,525,144
79,59,0
80,27,3
81,15,0
82,110,47
83,272,123
84,0,125
85,0,99
86,15,32
87,45,5
88,46,23
