age,member,casual
NULL,900,3404977
13,22,0
14,145,0
15,46,0
16,2564,0
17,6881,0
18,11753,7
19,24994,0
20,42116,19
21,56922,5
22,104065,0
23,228463,4
24,342090,12
25,427330,8
26,480252,96
27,511850,35
28,520683,27
29,490852,73
30,471947,35
31,444682,8
32,402801,108
33,369658,16
34,338094,21
35,301565,5
36,256518,39
37,226230,9
38,198196,79
39,179295,184
40,173241,13
41,161284,66
42,150920,0
43,139758,8
44,138720,8
45,131039,6
46,124230,11
47,125171,4
48,115634,11
49,114895,4
50,109696,7
51,109187,16
52,102524,0
53,107857,0
54,101571,5
55,87744,0
56,80648,6
57,73523,1
58,63085,0
59,61193,15
60,54575,4
61,47281,4
62,40553,6
63,33195,0
64,27455,0
65,24244,0
66,16923,5
67,12755,0
68,9484,0
69,6523,0
70,6231,0
71,5370,0
72,3224,0
73,1870,0
74,1456,0
75,1498,0
76,1326,0
77,840,0
78,669,0
79,59,0
80,30,0
81,15,0
82,157,0
83,395,0
84,125,0
85,99,0
86,47,0
87,50,0
88,69,0
